2021-04-05 15:32:00:1415 | test_01_register line:31 test_register |INFO | 开始执行测试案例：未注册的用户名（6位长度用户名与密码）与邮箱注册_注册成功
2021-04-05 15:32:00:2761 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/register/', 'method': 'POST', 'json': {'username': 'JobMBR', 'email': 'fsun@xiuyinggang.cn', 'password': '123456', 'password_confirm': '123456'}}
2021-04-05 15:32:00:4310 | basi_api line:23 send_http |INFO | 响应结果：{'id': 457, 'username': 'JobMBR', 'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo0NTcsInVzZXJuYW1lIjoiSm9iTUJSIiwiZXhwIjoxNjE3Njk0MzAzLCJlbWFpbCI6ImZzdW5AeGl1eWluZ2dhbmcuY24ifQ.Z6OF-uAJ4nSPiit7oBFbJ_Q1MSYzfbSFneaclV53xbg'}
2021-04-05 15:32:00:4580 | test_01_register line:55 test_register |INFO | 未注册的用户名（6位长度用户名与密码）与邮箱注册_注册成功 测试案例执行通过！

2021-04-05 15:32:00:4629 | test_01_register line:31 test_register |INFO | 开始执行测试案例：未注册的用户名（20位长度用户名与密码）与邮箱注册_注册成功
2021-04-05 15:32:00:5717 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/register/', 'method': 'POST', 'json': {'username': 'DBBKyKYAwMJGmDEehMlB', 'email': 'tianping@minmeng.net', 'password': '12345abcde.@$123456+', 'password_confirm': '12345abcde.@$123456+'}}
2021-04-05 15:32:00:7274 | basi_api line:23 send_http |INFO | 响应结果：{'id': 458, 'username': 'DBBKyKYAwMJGmDEehMlB', 'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjo0NTgsInVzZXJuYW1lIjoiREJCS3lLWUF3TUpHbURFZWhNbEIiLCJleHAiOjE2MTc2OTQzMDMsImVtYWlsIjoidGlhbnBpbmdAbWlubWVuZy5uZXQifQ.rku_rDxJOsZw5vmSPgEI2Kkg8VMnq_24TEsjYQO19tc'}
2021-04-05 15:32:00:7582 | test_01_register line:55 test_register |INFO | 未注册的用户名（20位长度用户名与密码）与邮箱注册_注册成功 测试案例执行通过！

2021-04-05 15:32:00:7662 | test_01_register line:31 test_register |INFO | 开始执行测试案例：已注册的用户名(未注册邮箱)注册_注册失败
2021-04-05 15:32:00:8710 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/register/', 'method': 'POST', 'json': {'username': 'DBBKyKYAwMJGmDEehMlB', 'email': 'nfang@na.net', 'password': '123456', 'password_confirm': '123456'}}
2021-04-05 15:32:00:9079 | basi_api line:23 send_http |INFO | 响应结果：{'username': ['已存在一位使用该名字的用户。']}
2021-04-05 15:32:00:9099 | test_01_register line:55 test_register |INFO | 已注册的用户名(未注册邮箱)注册_注册失败 测试案例执行通过！

2021-04-05 15:32:00:9159 | test_01_register line:31 test_register |INFO | 开始执行测试案例：注册名长度<6位注册_注册失败
2021-04-05 15:32:01:0238 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/register/', 'method': 'POST', 'json': {'username': 'kekek', 'email': 'qiaomin@jinghe.cn', 'password': '123456', 'password_confirm': '123456'}}
2021-04-05 15:32:01:0565 | basi_api line:23 send_http |INFO | 响应结果：{'username': ['仅允许6-20个字符的用户名']}
2021-04-05 15:32:01:0575 | test_01_register line:55 test_register |INFO | 注册名长度<6位注册_注册失败 测试案例执行通过！

2021-04-05 15:32:01:0615 | test_01_register line:31 test_register |INFO | 开始执行测试案例：注册名长度>20位注册_注册失败
2021-04-05 15:32:01:2270 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/register/', 'method': 'POST', 'json': {'username': 'kekekkekekkekekkekekk', 'email': 'juan66@hotmail.com', 'password': '123456', 'password_confirm': '123456'}}
2021-04-05 15:32:01:2659 | basi_api line:23 send_http |INFO | 响应结果：{'username': ['仅允许6-20个字符的用户名']}
2021-04-05 15:32:01:2669 | test_01_register line:55 test_register |INFO | 注册名长度>20位注册_注册失败 测试案例执行通过！

2021-04-05 15:32:01:2709 | test_01_register line:31 test_register |INFO | 开始执行测试案例：注册名为空_注册失败
2021-04-05 15:32:01:3796 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/register/', 'method': 'POST', 'json': {'username': '', 'email': 'li30@hotmail.com', 'password': '123456', 'password_confirm': '123456'}}
2021-04-05 15:32:01:4145 | basi_api line:23 send_http |INFO | 响应结果：{'username': ['该字段不能为空。']}
2021-04-05 15:32:01:4155 | test_01_register line:55 test_register |INFO | 注册名为空_注册失败 测试案例执行通过！

2021-04-05 15:32:01:4205 | test_01_register line:31 test_register |INFO | 开始执行测试案例：已注册的邮箱_注册失败
2021-04-05 15:32:01:5606 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/register/', 'method': 'POST', 'json': {'username': 'BiYnIH', 'email': 'tianping@minmeng.net', 'password': '123456', 'password_confirm': '123456'}}
2021-04-05 15:32:01:5895 | basi_api line:23 send_http |INFO | 响应结果：{'email': ['此邮箱已注册']}
2021-04-05 15:32:01:5905 | test_01_register line:55 test_register |INFO | 已注册的邮箱_注册失败 测试案例执行通过！

2021-04-05 15:32:01:5945 | test_01_register line:31 test_register |INFO | 开始执行测试案例：不符合标准格式的邮箱注册_注册失败
2021-04-05 15:32:01:6985 | basi_api line:21 send_http |INFO | 请求参数：{'url': 'http://api.keyou.site:8000/user/register/', 'method': 'POST', 'json': {'username': 'UGgKrx', 'email': '84351224qq.com', 'password': '123456', 'password_confirm': '123456'}}
